项目代码,项目状态,办理时间,项目名称,审批监管事项,办理状态,管理部门,projectuuid,SENDID
2211-330481-04-01-560914,,2022-11-11 14:15:58.0,海宁博大热水器有限公司600KWP屋顶分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,市发展和改革局,d5730d24daa445058dedc62c9e01948e,b52f9fc4455d4aeb994d91c0a4d794fe
2211-330481-04-01-192544,,2022-11-11 14:15:20.0,海宁奥神太阳能热超导管有限公司250KWP屋顶分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,市发展和改革局,17edff24be114fd694bd16b65c7cb9f3,ddc0ace9f844454cba329953beee3b9c
2211-330602-04-01-513264,,2022-11-11 14:13:21.0,上海睿泓新能源科技有限公司0.0162MWP分布式光伏发电项目（孙端加油站）,企业投资（含外商投资）项目备案（基本建设）,已办结,绍兴市越城区发展和改革局,81df81bb9e6842438255d891823c0a41,1d937b9494544be1a198b862a4e5c23b
2211-330481-04-01-762877,,2022-11-11 14:11:23.0,海宁市袁花镇永华角线厂250KWP屋顶分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,市发展和改革局,01bf67ecc64549c8a5e5ec7500da4565,d92b2fc5e2e54052a028f70dfbe46286
2211-330452-04-01-793169,,2022-11-11 14:01:18.0,嘉兴利贝德新材料科技有限公司60.50KW分布式光伏项目（二期）,企业投资（含外商投资）项目备案（基本建设）,已办结,嘉兴港区经济发展局（统计局）,cf687fb6a88d442aa88b488be3877808,352c58a9c7dc4287abf143e679299547
2211-330782-04-01-873246,,2022-11-11 13:21:21.0,义乌市启帆针织内衣有限公司200kwp分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,义乌市发展和改革局,38e4e0ab4f7c4eff909a833fcd2e2f02,5e51f09cf4c04367a3dacd3a4d6c8a41
2211-330112-04-01-223163,,2022-11-11 11:45:35.0,临安环球交通物流屋顶分布式光伏发电三期1.8MWP项目,企业投资（含外商投资）项目备案（基本建设）,已办结,区发展和改革局,a6b440bc5bae4deb826d73a69b4bb268,1b14f5a8b5c745d7aad1d5f0c06d1eb2
2211-330122-04-01-244795,,2022-11-11 11:30:00.0,桐庐荣盛针织有限公司300Kw分布式光伏,企业投资（含外商投资）项目备案（基本建设）,已办结,桐庐县发展和改革局,4c3f3b77f5ef49ea911210a2352d5f68,a9a4817cd8aa4de18921f7df2bf85305
2211-331083-04-01-388968,,2022-11-11 11:07:22.0,浙江中捷缝纫科技屋顶分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,市发展和改革局,6bc2d9c21ffb4a15ae7c790047a81ee8,e97e5e15906f4b0f8d94d46218f40454
2211-330109-04-01-633764,,2022-11-11 11:05:24.0,浙江涤锦塑染有限公司800KWp屋顶光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,区发展和改革局,c997d347e95145758bf758da9cd37b34,ee487006b27a46079411d2370356b8b2
2211-330106-04-01-671203,,2022-11-11 11:02:37.0,杭政储出【2020】22号地块商业商务用房新建190.75kWp光伏工程,企业投资（含外商投资）项目备案（基本建设）,已办结,区发展改革和经济信息化局,f400a2a4174244988e9b159d8b90fffd,0daa5634fc2149e888baaf0b8d4dc975
2211-330784-04-01-779441,,2022-11-11 10:49:56.0,胡杰敏居民家庭8.88KWp分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,市发展和改革局,9bf00877afb1472b9e816c661b9408ed,148554abb591468e9e7e94a4b319acd8
2211-331083-04-01-745670,,2022-11-11 10:48:11.0,浙江正耀新能源科技有限公司玉环地区分布式光伏项目,企业投资（含外商投资）项目备案（基本建设）,已办结,市发展和改革局,65c672e57b0f46318b408fd3cbc66225,20b64c08122340c196ce693b8f12b2b4
2211-331083-04-01-129784,,2022-11-11 10:47:40.0,玉环桦速汽配有限公司230KW分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,市发展和改革局,92d79e47a34d44b790b7a31196416725,aa97c47057c445b3bf7ffbd92b73592d
2211-331083-04-01-944952,,2022-11-11 10:44:33.0,玉环智能制造产业园屋顶分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,市发展和改革局,4d7d1f0ce0e84b56b596f5ddccf70dd8,f2d2f6ed938f435fb22793c55b36359e
2211-330723-04-01-632550,,2022-11-11 08:53:19.0,武义君邦能源科技有限公司644.1KWp分布式光伏发电（顺超教学设备）项目,企业投资（含外商投资）项目备案（基本建设）,已办结,武义县发展和改革局,dbbe7b36176142d38ae596cd40f65ed8,847ff11d716c4991a24ef9e7748bd1b8
2211-331102-04-01-582299,,2022-11-11 08:52:40.0,莲都区峰源乡夏庄村股份经济合作社57.2KW光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,区发展和改革局,185230ac225749889ed9f970fcf50411,b0315a7d03094c47a16745bd3758ca83
2211-331102-04-01-384201,,2022-11-11 08:51:17.0,莲都区峰源乡郑地村股份经济合作社90KW光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,区发展和改革局,4bc452fba84e46e5b994e9d13b1af939,bc0195a6313447cfbe2653d5193b24ba
2211-331102-04-01-331781,,2022-11-11 08:50:12.0,l莲都区峰源乡人民政府办公大楼48KW光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,区发展和改革局,a61f11da010f4004a62d086285af6245,ddb4518535874372896de1608631c5a4
